COMMON_NAME,BREEDING_CODE,SUITABILITY_TEXT,SUITABILITY
Black-necked Stilt,S,,0
Black-necked Stilt,A,,0
Black-necked Stilt,B,U,2
Black-necked Stilt,C,,0
Black-necked Stilt,M,,0
Black-necked Stilt,N,,0
Black-necked Stilt,P,,0
Black-necked Stilt,S7,,0
Black-necked Stilt,T,,0
Black-necked Stilt,CF,,0
Black-necked Stilt,CN,,0
Black-necked Stilt,DD,,0
Black-necked Stilt,FL,,0
Black-necked Stilt,FS,,0
Black-necked Stilt,FY,,0
Black-necked Stilt,NB,,0
Black-necked Stilt,NE,,0
Black-necked Stilt,NY,,0
Black-necked Stilt,ON,,0
Black-necked Stilt,PE,,0
Black-necked Stilt,UN,,0
American Woodcock,F,S,0
American Woodcock,H,,0
American Woodcock,S,,0
American Woodcock,A,,0
American Woodcock,B,U,2
American Woodcock,C,,0
American Woodcock,M,,0
American Woodcock,N,,0
American Woodcock,P,,0
American Woodcock,S7,,0
American Woodcock,T,,0
American Woodcock,CF,,0
American Woodcock,CN,,0
American Woodcock,DD,,0
American Woodcock,FL,,0
American Woodcock,FS,,0
American Woodcock,FY,,0
American Woodcock,NB,,0
American Woodcock,NE,,0
American Woodcock,NY,,0
American Woodcock,ON,,0
American Woodcock,PE,,0
American Woodcock,UN,,0
Willet,F,S,0
Willet,H,,0
Willet,S,,0
Willet,A,,0
Willet,B,U,2
Willet,C,,0
Willet,M,,0
Willet,N,,0
Willet,P,,0
Willet,S7,,0
Willet,T,,0
Willet,CF,,0
Willet,CN,,0
Willet,DD,,0
Willet,FL,,0
Willet,FS,,0
Willet,FY,,0
Willet,NB,,0
Willet,NE,,0
Willet,NY,,0
Willet,ON,,0
Willet,PE,,0
Willet,UN,,0
Wood Stork,F,,0
Wood Stork,H,,0
Wood Stork,S,,0
Wood Stork,A,,0
Wood Stork,B,U,2
Wood Stork,C,,0
Wood Stork,M,,0
Wood Stork,N,,0
Wood Stork,P,,0
Wood Stork,S7,,0
Wood Stork,T,,0
Wood Stork,CF,,0
Wood Stork,CN,,0
Wood Stork,DD,,0
Wood Stork,FL,,0
Wood Stork,FS,,0
Wood Stork,FY,,0
Wood Stork,NB,,0
Wood Stork,NE,,0
Wood Stork,NY,,0
Wood Stork,ON,,0
Wood Stork,PE,,0
Wood Stork,UN,,0
